ID,group,condition,meanERP
3,1,1,5.73688364028931
4,1,1,2.10571932792664
5,1,1,0.680412292480469
6,1,1,-1.40797138214111
7,1,1,-1.18529582023621
8,1,1,3.54329776763916
10,1,1,7.10463571548462
13,1,1,4.38375091552734
14,1,1,0.966622710227966
16,1,1,-0.460825234651566
18,1,1,1.44101715087891
19,1,1,-0.832263767719269
20,1,1,-0.798470556735992
21,1,1,-1.23304307460785
22,1,1,-1.1200989484787
23,1,1,-0.706653475761414
24,1,1,3.10644125938416
42,1,1,1.26612687110901
44,1,1,-0.646235704421997
3,1,2,2.60289978981018
4,1,2,1.21719086170197
5,1,2,5.24676465988159
6,1,2,-2.21374988555908
7,1,2,-0.597733497619629
8,1,2,4.85137462615967
10,1,2,2.92824840545654
13,1,2,-0.614701092243195
14,1,2,5.18070650100708
16,1,2,-0.12520968914032
18,1,2,0.074804961681366
19,1,2,-0.751716315746307
20,1,2,-2.20736908912659
21,1,2,-0.940448641777039
22,1,2,-1.64383172988892
23,1,2,-0.498834252357483
24,1,2,0.988145768642426
42,1,2,-0.143974334001541
44,1,2,2.47699403762817
45,2,1,1.97373986244202
41,2,1,0.484789967536926
38,2,1,1.20949745178223
50,2,1,-1.92974853515625
9,2,1,1.126140832901
27,2,1,-0.480547785758972
47,2,1,10.726692199707
36,2,1,-1.1487078666687
32,2,1,-1.29868841171265
43,2,1,0.123098015785217
48,2,1,-1.61394071578979
28,2,1,-0.213361501693726
35,2,1,1.0206481218338
37,2,1,-3.33827614784241
29,2,1,1.3491313457489
49,2,1,0.516169965267181
2,2,1,-0.656716406345367
30,2,1,-1.50508069992065
46,2,1,3.54342365264893
39,2,1,-0.0378564931452274
45,2,2,0.799744307994843
41,2,2,-1.40201616287231
38,2,2,1.02028715610504
50,2,2,-0.366274952888489
9,2,2,0.0107566276565194
27,2,2,-0.748759031295776
47,2,2,5.26870250701904
36,2,2,-3.01571941375732
32,2,2,-0.411247104406357
43,2,2,-0.0563344359397888
48,2,2,-1.79373037815094
28,2,2,-0.951793789863586
35,2,2,-0.798638522624969
37,2,2,-0.474341779947281
29,2,2,0.495395600795746
49,2,2,-0.508202970027924
2,2,2,-1.59391129016876
30,2,2,-1.58105838298798
46,2,2,4.94604635238647
39,2,2,-0.742398023605347
